instant,dteday,season,yr,mnth,weathersit,hum,casual,registered,cnt
281,2011-10-08,4,0,10,1,0.70125,2235,3174,5409
282,2011-10-09,4,0,10,1,0.7275,2397,3114,5511
283,2011-10-10,4,0,10,1,0.73375,1514,3603,5117
284,2011-10-11,4,0,10,2,0.80875,667,3896,4563
285,2011-10-12,4,0,10,3,0.90625,217,2199,2416
286,2011-10-13,4,0,10,2,0.896667,290,2623,2913
287,2011-10-14,4,0,10,2,0.71625,529,3115,3644
288,2011-10-15,4,0,10,1,0.483333,1899,3318,5217
289,2011-10-16,4,0,10,1,0.486667,1748,3293,5041
290,2011-10-17,4,0,10,1,0.579583,713,3857,4570
291,2011-10-18,4,0,10,2,0.701667,637,4111,4748
292,2011-10-19,4,0,10,3,0.895217,254,2170,2424
293,2011-10-20,4,0,10,1,0.63625,471,3724,4195
294,2011-10-21,4,0,10,1,0.574167,676,3628,4304
295,2011-10-22,4,0,10,1,0.629167,1499,2809,4308
296,2011-10-23,4,0,10,1,0.74125,1619,2762,4381
297,2011-10-24,4,0,10,1,0.772083,699,3488,4187
298,2011-10-25,4,0,10,1,0.622917,695,3992,4687
299,2011-10-26,4,0,10,2,0.720417,404,3490,3894
300,2011-10-27,4,0,10,2,0.812917,240,2419,2659
301,2011-10-28,4,0,10,2,0.585833,456,3291,3747
302,2011-10-29,4,0,10,3,0.8825,57,570,627
303,2011-10-30,4,0,10,1,0.62375,885,2446,3331
304,2011-10-31,4,0,10,1,0.703333,362,3307,3669
305,2011-11-01,4,0,11,1,0.68375,410,3658,4068
306,2011-11-02,4,0,11,1,0.71875,370,3816,4186
307,2011-11-03,4,0,11,1,0.702083,318,3656,3974
308,2011-11-04,4,0,11,2,0.6225,470,3576,4046
309,2011-11-05,4,0,11,1,0.519167,1156,2770,3926
310,2011-11-06,4,0,11,1,0.734583,952,2697,3649
311,2011-11-07,4,0,11,1,0.75875,373,3662,4035
312,2011-11-08,4,0,11,1,0.721667,376,3829,4205
313,2011-11-09,4,0,11,1,0.758333,305,3804,4109
314,2011-11-10,4,0,11,2,0.813333,190,2743,2933
315,2011-11-11,4,0,11,1,0.44625,440,2928,3368
316,2011-11-12,4,0,11,1,0.552917,1275,2792,4067
317,2011-11-13,4,0,11,1,0.458333,1004,2713,3717
318,2011-11-14,4,0,11,1,0.587083,595,3891,4486
319,2011-11-15,4,0,11,2,0.68875,449,3746,4195
320,2011-11-16,4,0,11,3,0.93,145,1672,1817
321,2011-11-17,4,0,11,2,0.575833,139,2914,3053
322,2011-11-18,4,0,11,1,0.41,245,3147,3392
323,2011-11-19,4,0,11,1,0.502083,943,2720,3663
324,2011-11-20,4,0,11,2,0.684583,787,2733,3520
325,2011-11-21,4,0,11,3,0.91,220,2545,2765
326,2011-11-22,4,0,11,3,0.9625,69,1538,1607
327,2011-11-23,4,0,11,2,0.757917,112,2454,2566
328,2011-11-24,4,0,11,1,0.549167,560,935,1495
329,2011-11-25,4,0,11,1,0.64375,1095,1697,2792
330,2011-11-26,4,0,11,1,0.681667,1249,1819,3068
331,2011-11-27,4,0,11,1,0.698333,810,2261,3071
332,2011-11-28,4,0,11,1,0.743043,253,3614,3867
333,2011-11-29,4,0,11,2,0.830833,96,2818,2914
334,2011-11-30,4,0,11,1,0.613333,188,3425,3613
335,2011-12-01,4,0,12,1,0.524583,182,3545,3727
336,2011-12-02,4,0,12,1,0.625833,268,3672,3940
337,2011-12-03,4,0,12,1,0.612917,706,2908,3614
338,2011-12-04,4,0,12,1,0.775833,634,2851,3485
339,2011-12-05,4,0,12,2,0.827083,233,3578,3811
340,2011-12-06,4,0,12,3,0.949583,126,2468,2594
341,2011-12-07,4,0,12,3,0.970417,50,655,705
342,2011-12-08,4,0,12,1,0.58,150,3172,3322
343,2011-12-09,4,0,12,1,0.695833,261,3359,3620
344,2011-12-10,4,0,12,1,0.5075,502,2688,3190
345,2011-12-11,4,0,12,1,0.49,377,2366,2743
346,2011-12-12,4,0,12,1,0.670833,143,3167,3310
347,2011-12-13,4,0,12,1,0.59,155,3368,3523
348,2011-12-14,4,0,12,2,0.66375,178,3562,3740
349,2011-12-15,4,0,12,2,0.634167,181,3528,3709
350,2011-12-16,4,0,12,2,0.500417,178,3399,3577
351,2011-12-17,4,0,12,2,0.560833,275,2464,2739
352,2011-12-18,4,0,12,1,0.58625,220,2211,2431
353,2011-12-19,4,0,12,1,0.6375,260,3143,3403
354,2011-12-20,4,0,12,2,0.595417,216,3534,3750
355,2011-12-21,1,0,12,2,0.858333,107,2553,2660
356,2011-12-22,1,0,12,2,0.7575,227,2841,3068
357,2011-12-23,1,0,12,1,0.68625,163,2046,2209
358,2011-12-24,1,0,12,1,0.5425,155,856,1011
359,2011-12-25,1,0,12,1,0.681304,303,451,754
360,2011-12-26,1,0,12,1,0.506957,430,887,1317
361,2011-12-27,1,0,12,2,0.7625,103,1059,1162
362,2011-12-28,1,0,12,1,0.503913,255,2047,2302
363,2011-12-29,1,0,12,1,0.574167,254,2169,2423
364,2011-12-30,1,0,12,1,0.636667,491,2508,2999
365,2011-12-31,1,0,12,1,0.615833,665,1820,2485
366,2012-01-01,1,1,1,1,0.6925,686,1608,2294
367,2012-01-02,1,1,1,1,0.381304,244,1707,1951
368,2012-01-03,1,1,1,1,0.44125,89,2147,2236
369,2012-01-04,1,1,1,2,0.414583,95,2273,2368
370,2012-01-05,1,1,1,1,0.524167,140,3132,3272
371,2012-01-06,1,1,1,1,0.542083,307,3791,4098
372,2012-01-07,1,1,1,1,0.531667,1070,3451,4521
373,2012-01-08,1,1,1,1,0.465,599,2826,3425
374,2012-01-09,1,1,1,2,0.701667,106,2270,2376
375,2012-01-10,1,1,1,1,0.646522,173,3425,3598
376,2012-01-11,1,1,1,2,0.8475,92,2085,2177
377,2012-01-12,1,1,1,2,0.802917,269,3828,4097
378,2012-01-13,1,1,1,1,0.5075,174,3040,3214
379,2012-01-14,1,1,1,1,0.4575,333,2160,2493
380,2012-01-15,1,1,1,1,0.419167,284,2027,2311
381,2012-01-16,1,1,1,1,0.5225,217,2081,2298
382,2012-01-17,1,1,1,2,0.716087,127,2808,2935
383,2012-01-18,1,1,1,1,0.443333,109,3267,3376
384,2012-01-19,1,1,1,1,0.4975,130,3162,3292
385,2012-01-20,1,1,1,2,0.45,115,3048,3163
386,2012-01-21,1,1,1,2,0.83125,67,1234,1301
387,2012-01-22,1,1,1,2,0.79625,196,1781,1977
388,2012-01-23,1,1,1,2,0.91125,145,2287,2432
389,2012-01-24,1,1,1,1,0.835833,439,3900,4339
390,2012-01-25,1,1,1,1,0.64375,467,3803,4270
391,2012-01-26,1,1,1,2,0.769583,244,3831,4075
392,2012-01-27,1,1,1,2,0.74125,269,3187,3456
393,2012-01-28,1,1,1,1,0.543333,775,3248,4023
394,2012-01-29,1,1,1,1,0.31125,558,2685,3243
395,2012-01-30,1,1,1,1,0.400833,126,3498,3624
396,2012-01-31,1,1,1,1,0.416667,324,4185,4509
397,2012-02-01,1,1,2,1,0.507917,304,4275,4579
398,2012-02-02,1,1,2,2,0.672917,190,3571,3761
399,2012-02-03,1,1,2,1,0.526667,310,3841,4151
400,2012-02-04,1,1,2,2,0.779583,384,2448,2832
401,2012-02-05,1,1,2,2,0.687917,318,2629,2947
402,2012-02-06,1,1,2,1,0.622174,206,3578,3784
403,2012-02-07,1,1,2,1,0.49625,199,4176,4375
404,2012-02-08,1,1,2,2,0.722917,109,2693,2802
405,2012-02-09,1,1,2,1,0.562083,163,3667,3830
406,2012-02-10,1,1,2,2,0.54,227,3604,3831
407,2012-02-11,1,1,2,3,0.73125,192,1977,2169
408,2012-02-12,1,1,2,1,0.464583,73,1456,1529
409,2012-02-13,1,1,2,1,0.41125,94,3328,3422
410,2012-02-14,1,1,2,2,0.50875,135,3787,3922
411,2012-02-15,1,1,2,1,0.53125,141,4028,4169
412,2012-02-16,1,1,2,2,0.752917,74,2931,3005
413,2012-02-17,1,1,2,1,0.634583,349,3805,4154
414,2012-02-18,1,1,2,1,0.534583,1435,2883,4318
415,2012-02-19,1,1,2,2,0.515833,618,2071,2689
416,2012-02-20,1,1,2,1,0.507826,502,2627,3129
417,2012-02-21,1,1,2,1,0.594348,163,3614,3777
418,2012-02-22,1,1,2,1,0.567917,394,4379,4773
419,2012-02-23,1,1,2,1,0.554583,516,4546,5062
420,2012-02-24,1,1,2,2,0.7375,246,3241,3487
421,2012-02-25,1,1,2,1,0.395833,317,2415,2732
422,2012-02-26,1,1,2,1,0.41,515,2874,3389
423,2012-02-27,1,1,2,1,0.490833,253,4069,4322
424,2012-02-28,1,1,2,1,0.395833,229,4134,4363
425,2012-02-29,1,1,2,2,0.804783,65,1769,1834
426,2012-03-01,1,1,3,1,0.615417,325,4665,4990
427,2012-03-02,1,1,3,2,0.657083,246,2948,3194
428,2012-03-03,1,1,3,2,0.62125,956,3110,4066
429,2012-03-04,1,1,3,1,0.403333,710,2713,3423
430,2012-03-05,1,1,3,1,0.50625,203,3130,3333
431,2012-03-06,1,1,3,1,0.456667,221,3735,3956
432,2012-03-07,1,1,3,1,0.513333,432,4484,4916
433,2012-03-08,1,1,3,1,0.5675,486,4896,5382
434,2012-03-09,1,1,3,2,0.407083,447,4122,4569
435,2012-03-10,1,1,3,1,0.350417,968,3150,4118
436,2012-03-11,1,1,3,1,0.476957,1658,3253,4911
437,2012-03-12,1,1,3,1,0.489167,838,4460,5298
438,2012-03-13,1,1,3,1,0.6175,762,5085,5847
439,2012-03-14,1,1,3,1,0.507083,997,5315,6312
440,2012-03-15,1,1,3,1,0.579583,1005,5187,6192
441,2012-03-16,1,1,3,2,0.842083,548,3830,4378
442,2012-03-17,1,1,3,2,0.755833,3155,4681,7836
443,2012-03-18,1,1,3,2,0.81,2207,3685,5892
444,2012-03-19,1,1,3,1,0.72875,982,5171,6153
445,2012-03-20,1,1,3,1,0.807917,1051,5042,6093
446,2012-03-21,2,1,3,2,0.82125,1122,5108,6230
447,2012-03-22,2,1,3,1,0.83125,1334,5537,6871
448,2012-03-23,2,1,3,2,0.694167,2469,5893,8362
449,2012-03-24,2,1,3,2,0.885417,1033,2339,3372
450,2012-03-25,2,1,3,2,0.880833,1532,3464,4996
451,2012-03-26,2,1,3,1,0.477917,795,4763,5558
452,2012-03-27,2,1,3,1,0.29,531,4571,5102
453,2012-03-28,2,1,3,1,0.48125,674,5024,5698
454,2012-03-29,2,1,3,1,0.439167,834,5299,6133
455,2012-03-30,2,1,3,2,0.580833,796,4663,5459
456,2012-03-31,2,1,3,2,0.738333,2301,3934,6235
457,2012-04-01,2,1,4,2,0.67625,2347,3694,6041
458,2012-04-02,2,1,4,1,0.504348,1208,4728,5936
459,2012-04-03,2,1,4,1,0.396667,1348,5424,6772
460,2012-04-04,2,1,4,1,0.469583,1058,5378,6436
461,2012-04-05,2,1,4,1,0.374167,1192,5265,6457
462,2012-04-06,2,1,4,1,0.377083,1807,4653,6460
463,2012-04-07,2,1,4,1,0.254167,3252,3605,6857
464,2012-04-08,2,1,4,1,0.275833,2230,2939,5169
